Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ASTC,Astrotech Corporation,2.55,14730097.95,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/astc
SGRP,"SPAR Group, Inc.",0.7056,14659960.49,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/sgrp
PY,Principal Shareholder Yield Index ETF,32.4255,14591507.43,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/py
KOSS,Koss Corporation,1.97,14587517.07,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/koss
DLPN,"Dolphin Entertainment, Inc.",1.01,14538507.62,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/dlpn
ACHV,"Achieve Life Sciences, Inc. ",1.85,14477297.1,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
SCKT,"Socket Mobile, Inc.",2.4,14397981.6,n/a,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/sckt
NCTY,The9 Limited,1.06,14305063.58,13495343,2004,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ncty
TRNX,"Taronis Technologies, Inc.",0.469,14270435.12,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/trnx
PIXY,"ShiftPixy, Inc.",0.42,14220946.32,n/a,2017,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/pixy
DEST,Destination Maternity Corporation,0.99,14196388.14,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dest
ONTX,"Onconova Therapeutics, Inc.",2.35,14096531.4,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ontx
SGLB,"Sigma Labs, Inc.",1.274,13934489.66,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/sglb
STAF,"Staffing 360 Solutions, Inc.",1.69,13925512.12,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/staf
ACT,AdvisorShares Vice ETF,25.2547,13890085,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
CPSH,CPS Technologies Corp.,1.05,13867807.8,n/a,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cpsh
IKNX,Ikonics Corporation,6.99,13865035.47,n/a,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/iknx
MARA,"Marathon Patent Group, Inc.",2.15,13728620.75,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/mara
SUNW,"Sunworks, Inc.",0.4947,13726321.68,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/sunw
DGLY,"Digital Ally, Inc.",1.2,13716644.4,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/dgly
VLRX,"Valeritas Holdings, Inc.",2.58,13697519.28,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/vlrx
FID,First Trust S&P International Dividend Aristocrats ETF,17.12,13696034.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fid
ANTE,AirNet Technology Inc.,1.515,13688858.25,9035550,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/ante
MYT,"Urban Tea, Inc.",0.52,13592963.28,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/myt
EDNT,"Edison Nation, Inc.",2.1162,13543680,n/a,2018,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/ednt
ALRN,"Aileron Therapeutics, Inc.",0.5,13356808.5,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
LIVE,Live Ventures Incorporated,6.7155,13323659.45,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/live
MRIN,Marin Software Incorporated,2.2,13219800,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mrin
DYNT,Dynatronics Corporation,1.57,13215935.01,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dynt
NAOV,"NanoVibronix, Inc.",3.1899,13126004.67,n/a,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/naov
IPDN,"Professional Diversity Network, Inc.",2.47,13087709.96,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ipdn
VTIQW,VectoIQ Acquisition Corp.,0.44,13041600,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/vtiqw
